crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,retried,paddle_text,paddle_score,paddle_n_lines,tess_text,tess_score,tess_n_lines,final_source,final_score,text,n_lines,crop_path
page_0009_009_text,page_0009,9,9,text,0.48179391026496887,338,1605,1316,1737,978,132,False,"لا ثُسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال
المشتركة والشركة والصلح الواقي والإفلاس",0.946,2,,,0,paddle,0.946,"لا ثُسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال
المشتركة والشركة والصلح الواقي والإفلاس",2,./crops\page_0009\page_0009_009_text.png
page_0009_010_number,page_0009,9,10,number,0.776057779788971,811,1756,836,1790,25,34,False,0,0.9088,1,,,0,paddle,0.9088,0,1,./crops\page_0009\page_0009_010_number.png
page_0010_001_text,page_0010,10,1,text,0.30737823247909546,327,0,1287,102,960,102,True,,,0,,,0,paddle,,,0,./crops\page_0010\page_0010_001_text.png
page_0010_002_paragraph_title,page_0010,10,2,paragraph_title,0.7342394590377808,743,241,890,287,147,46,True,المادة٢١,0.8438,1,المادة ١‏ ؟,0.9167,1,tesseract,0.9167,المادة ١‏ ؟,1,./crops\page_0010\page_0010_002_paragraph_title.png
page_0010_003_text,page_0010,10,3,text,0.7435587048530579,332,303,1302,483,970,180,False,"فيما عدا الأحوال المذكورة في المادة السابقة يمكن علىالدوام عرض الدفاتر
التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع
وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها",0.9546,3,,,0,paddle,0.9546,"فيما عدا الأحوال المذكورة في المادة السابقة يمكن علىالدوام عرض الدفاتر
التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع
وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها",3,./crops\page_0010\page_0010_003_text.png
page_0010_004_paragraph_title,page_0010,10,4,paragraph_title,0.7950047850608826,744,504,893,548,149,44,False,المادة ٢٢,0.9169,1,,,0,paddle,0.9169,المادة ٢٢,1,./crops\page_0010\page_0010_004_paragraph_title.png
page_0010_005_text,page_0010,10,5,text,0.9091498851776123,334,567,1306,679,972,112,False,"التنفيذية التي تصدر
يمكن للتجار مسك حساباتهم إلكترونياً وفقاً للتعليمات
عن وزارة الاقتصاد والتجارة",0.9446,3,,,0,paddle,0.9446,"التنفيذية التي تصدر
يمكن للتجار مسك حساباتهم إلكترونياً وفقاً للتعليمات
عن وزارة الاقتصاد والتجارة",3,./crops\page_0010\page_0010_005_text.png
page_0010_006_text,page_0010,10,6,text,0.3848838210105896,703,709,929,773,226,64,False,الفصل الثالث,0.9706,1,,,0,paddle,0.9706,الفصل الثالث,1,./crops\page_0010\page_0010_006_text.png
page_0010_007_paragraph_title,page_0010,10,7,paragraph_title,0.45950281620025635,718,790,918,846,200,56,False,"التجارة
سجل",0.9834,2,,,0,paddle,0.9834,"التجارة
سجل",2,./crops\page_0010\page_0010_007_paragraph_title.png
page_0010_008_paragraph_title,page_0010,10,8,paragraph_title,0.670905590057373,746,867,896,914,150,47,False,المادة ٢٣,0.9114,1,,,0,paddle,0.9114,المادة ٢٣,1,./crops\page_0010\page_0010_008_paragraph_title.png
page_0010_009_text,page_0010,10,9,text,0.3064038157463074,335,928,1307,1173,972,245,False,"سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل
المؤسسات التجارية التي تعمل في سورية
وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة فيحق الغير عند وجود
نص قانوني صريح بهذا المعنى",0.952,4,,,0,paddle,0.952,"سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل
المؤسسات التجارية التي تعمل في سورية
وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة فيحق الغير عند وجود
نص قانوني صريح بهذا المعنى",4,./crops\page_0010\page_0010_009_text.png
page_0010_010_paragraph_title,page_0010,10,10,paragraph_title,0.7776631712913513,750,1181,899,1226,149,45,False,المادة ٢٤,0.9256,1,,,0,paddle,0.9256,المادة ٢٤,1,./crops\page_0010\page_0010_010_paragraph_title.png
page_0010_011_text,page_0010,10,11,text,0.7917762994766235,337,1244,1307,1363,970,119,False,"١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية
والشركات التي يوجد مركزها خارج سورية",0.9346,2,,,0,paddle,0.9346,"١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية
والشركات التي يوجد مركزها خارج سورية",2,./crops\page_0010\page_0010_011_text.png
page_0010_012_text,page_0010,10,12,text,0.8588201999664307,340,1368,1308,1541,968,173,False,"ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار
والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها
سجل التجارة",0.9514,3,,,0,paddle,0.9514,"ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار
والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها
سجل التجارة",3,./crops\page_0010\page_0010_012_text.png
page_0010_013_text,page_0010,10,13,text,0.8394680619239807,342,1551,1311,1729,969,178,False,"٣ـيتولى مسك السجل موظف يُطّلق عليه أمين سجل التجارة وعليه أن يباشر
وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته
بشرف وأمانة",0.9563,3,,,0,paddle,0.9563,"٣ـيتولى مسك السجل موظف يُطّلق عليه أمين سجل التجارة وعليه أن يباشر
وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته
بشرف وأمانة",3,./crops\page_0010\page_0010_013_text.png
page_0010_014_number,page_0010,10,14,number,0.7879440188407898,805,1757,850,1791,45,34,True,,,0,٠١,0.55,1,tesseract,0.55,٠١,1,./crops\page_0010\page_0010_014_number.png
page_0011_001_text,page_0011,11,1,text,0.912165105342865,363,211,1339,339,976,128,False,"تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت
جنسيتهم",0.9624,2,,,0,paddle,0.9624,"تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت
جنسيتهم",2,./crops\page_0011\page_0011_001_text.png
page_0011_002_text,page_0011,11,2,text,0.5977453589439392,338,350,1327,1719,989,1369,False,"المادة ٢٥
١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد
فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من
تاريخ فتح المحل أو شرائه
ـ على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي
أ- اسمه ونسبته
باسمه التجاري إذا اختلف عن اسمه وعنوانه التجاري
جتاريخ ولادته ومحلها وموطنه
دـ جنسيته الأصلية، وإذا كان قد حصل على جنسية أخرى، فيبين طريقة
حصوله عليها مع ذكر التاريخ
هوإذا كان الأمر يختص بامرأة متزوجة تابعة لجنسية أجنبية يقضي قانون
الأحوال الشخصية الذي تخضع له بألا تتعاطى التجارة إلآ بترخيص صريح
من زوجها، فيذكر الترخيص المعطى لها وفاقاً للقانون المشار إليه
والنظام المالى للزوجين إذا اختلف عن أحكام القانون السوري والاتفاقية
المعقودة بينهما وذلك في حال وجودها
ز موضوع التجارة
حالمتاجر التي يستثمرها التاجر أو التي سبق له استثمارها في سورية ومكانها
ط شعائر المتجر إن وجد
يأسماء المفوضين بالنيابة عنهم ونسبتهم وتاريخ ولادتهم ومحلها
وجنسيتهم
٣ـينقل أمين السجل محتوى التصريح إلى سجل التجارة ويُسلّم التاجر إحدى نسختي
التصريح بعد أن يصادق في آخرها على أنها مطابقة للأصل",0.9504,22,,,0,paddle,0.9504,"المادة ٢٥
١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد
فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من
تاريخ فتح المحل أو شرائه
ـ على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي
أ- اسمه ونسبته
باسمه التجاري إذا اختلف عن اسمه وعنوانه التجاري
جتاريخ ولادته ومحلها وموطنه
دـ جنسيته الأصلية، وإذا كان قد حصل على جنسية أخرى، فيبين طريقة
حصوله عليها مع ذكر التاريخ
هوإذا كان الأمر يختص بامرأة متزوجة تابعة لجنسية أجنبية يقضي قانون
الأحوال الشخصية الذي تخضع له بألا تتعاطى التجارة إلآ بترخيص صريح
من زوجها، فيذكر الترخيص المعطى لها وفاقاً للقانون المشار إليه
والنظام المالى للزوجين إذا اختلف عن أحكام القانون السوري والاتفاقية
المعقودة بينهما وذلك في حال وجودها
ز موضوع التجارة
حالمتاجر التي يستثمرها التاجر أو التي سبق له استثمارها في سورية ومكانها
ط شعائر المتجر إن وجد
يأسماء المفوضين بالنيابة عنهم ونسبتهم وتاريخ ولادتهم ومحلها
وجنسيتهم
٣ـينقل أمين السجل محتوى التصريح إلى سجل التجارة ويُسلّم التاجر إحدى نسختي
التصريح بعد أن يصادق في آخرها على أنها مطابقة للأصل",22,./crops\page_0011\page_0011_002_text.png
page_0011_003_number,page_0011,11,3,number,0.8093596696853638,792,1732,838,1767,46,35,True,,,0,١١,0.53,1,tesseract,0.53,١١,1,./crops\page_0011\page_0011_003_number.png
page_0012_001_paragraph_title,page_0012,12,1,paragraph_title,0.40353965759277344,729,215,878,260,149,45,False,المادة ٢٦,0.8859,1,,,0,paddle,0.8859,المادة ٢٦,1,./crops\page_0012\page_0012_001_paragraph_title.png
page_0012_002_paragraph_title,page_0012,12,2,paragraph_title,0.4352579414844513,749,1155,900,1201,151,46,False,المادة٧,0.9286,1,,,0,paddle,0.9286,المادة٧,1,./crops\page_0012\page_0012_002_paragraph_title.png
page_0012_003_reference_content,page_0012,12,3,reference_content,0.4031771123409271,337,1214,1307,1454,970,240,False,"١إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب
تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على
مديريها وأعضاء مجلس إدارتها أن يطلبوا التسجيل في خلال الشهر الذي يلي
تأسيسها",0.968,4,,,0,paddle,0.968,"١إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب
تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على
مديريها وأعضاء مجلس إدارتها أن يطلبوا التسجيل في خلال الشهر الذي يلي
تأسيسها",4,./crops\page_0012\page_0012_003_reference_content.png
page_0012_004_reference_content,page_0012,12,4,reference_content,0.4428160488605499,344,1458,1314,1701,970,243,False,"٢ـويقدم طالبو التسجيل إلى أمين سجل التجارة صورة مصدّقة عن صك تأسيس
الشركة أو نظامها الأساسى وخلاصة لهذا الصك أو النظام مُعدّة للشهر ومنظمة
على نسختين ومشتملة على الطوابع وعلى تواقيع طالبيالتسجيل ومتضمنه
بوجه خاص البيانات الآتية",0.934,4,,,0,paddle,0.934,"٢ـويقدم طالبو التسجيل إلى أمين سجل التجارة صورة مصدّقة عن صك تأسيس
الشركة أو نظامها الأساسى وخلاصة لهذا الصك أو النظام مُعدّة للشهر ومنظمة
على نسختين ومشتملة على الطوابع وعلى تواقيع طالبيالتسجيل ومتضمنه
بوجه خاص البيانات الآتية",4,./crops\page_0012\page_0012_004_reference_content.png
page_0012_005_number,page_0012,12,5,number,0.7906366586685181,812,1723,860,1759,48,36,True,١,0.7128,1,",""",0.39,1,paddle,0.7128,١,1,./crops\page_0012\page_0012_005_number.png
page_0013_001_paragraph_title,page_0013,13,1,paragraph_title,0.3977346122264862,780,890,929,934,149,44,False,المادة٢٨,0.9438,1,,,0,paddle,0.9438,المادة٢٨,1,./crops\page_0013\page_0013_001_paragraph_title.png
page_0013_002_text,page_0013,13,2,text,0.27485692501068115,364,1135,1336,1318,972,183,False,"٢الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء
مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون
وأعضاء مجلس الإدارة القائمون بوظائفهم في وقت وجوب التسجيل",0.9585,3,,,0,paddle,0.9585,"٢الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء
مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون
وأعضاء مجلس الإدارة القائمون بوظائفهم في وقت وجوب التسجيل",3,./crops\page_0013\page_0013_002_text.png
page_0013_003_text,page_0013,13,3,text,0.3486230969429016,358,1575,1341,1762,983,187,False,"الشركات التجارية المؤسسة خارج الأراضي السورية ولها فروع أو وكالات في
سورية وكذلك التجار الذين لهم مركز رئيسي في الخارج وفروع أو وكالات في سورية
مهما كانت جنسيتهم",0.9606,3,,,0,paddle,0.9606,"الشركات التجارية المؤسسة خارج الأراضي السورية ولها فروع أو وكالات في
سورية وكذلك التجار الذين لهم مركز رئيسي في الخارج وفروع أو وكالات في سورية
مهما كانت جنسيتهم",3,./crops\page_0013\page_0013_003_text.png
page_0013_004_number,page_0013,13,4,number,0.7840940356254578,822,1773,873,1807,51,34,False,١٣,0.8605,1,,,0,paddle,0.8605,١٣,1,./crops\page_0013\page_0013_004_number.png
page_0014_001_paragraph_title,page_0014,14,1,paragraph_title,0.6444593667984009,733,258,879,302,146,44,False,المادة ٢٩,0.8821,1,,,0,paddle,0.8821,المادة ٢٩,1,./crops\page_0014\page_0014_001_paragraph_title.png
page_0014_002_text,page_0014,14,2,text,0.9286908507347107,318,329,1297,444,979,115,False,"يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها
في سورية",0.9735,2,,,0,paddle,0.9735,"يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها
في سورية",2,./crops\page_0014\page_0014_002_text.png
page_0014_003_paragraph_title,page_0014,14,3,paragraph_title,0.6964360475540161,674,453,940,530,266,77,False,الشركات المدنية,0.9253,1,,,0,paddle,0.9253,الشركات المدنية,1,./crops\page_0014\page_0014_003_paragraph_title.png
page_0014_004_paragraph_title,page_0014,14,4,paragraph_title,0.629942774772644,731,558,883,603,152,45,False,"٣
المادة",0.9543,2,,,0,paddle,0.9543,"٣
المادة",2,./crops\page_0014\page_0014_004_paragraph_title.png
page_0014_005_text,page_0014,14,5,text,0.8475376963615417,299,619,1288,855,989,236,False,"١يحدث في أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع
مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧
٨ من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية
للشركة",0.9549,4,,,0,paddle,0.9549,"١يحدث في أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع
مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧
٨ من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية
للشركة",4,./crops\page_0014\page_0014_005_text.png
page_0014_006_text,page_0014,14,6,text,0.8133718371391296,319,867,1293,1044,974,177,True,"  ه ل   ة   ي  لو  ي  ا يم     ي  
 عم ييل   ل ٥ةي  ل  لل   ي لا  ي ل ل٥  O ل  ي  لويل لا يي
ي ا ييإ ي    ي",0.4684,3,"""-تسجل الشركات المدنية التي يقع مركزها خارج سورية أو لها فرع أو وكالة في
سجل خاص تابع لسجل الفروع والوكالات العائدة للمؤسسات أو الشركات القائمة
خارج سورية وذلك وفق القانون الخاص بها.",0.9171,3,tesseract,0.9171,"""-تسجل الشركات المدنية التي يقع مركزها خارج سورية أو لها فرع أو وكالة في
سجل خاص تابع لسجل الفروع والوكالات العائدة للمؤسسات أو الشركات القائمة
خارج سورية وذلك وفق القانون الخاص بها.",3,./crops\page_0014\page_0014_006_text.png
page_0014_007_text,page_0014,14,7,text,0.8278283476829529,322,1052,1296,1232,974,180,False,"٣ـ على الشركات المذكورة فى الفقرتين السابقتين تسجيل نفسها في السجل المذكور
وإيداع صك تأسيسها ونظامها الأساسي ديوان محكمة البداية في مركزها إذا
أرادت الاحتجاج بشخصيتها الاعتبارية حيال الغير",0.9448,3,,,0,paddle,0.9448,"٣ـ على الشركات المذكورة فى الفقرتين السابقتين تسجيل نفسها في السجل المذكور
وإيداع صك تأسيسها ونظامها الأساسي ديوان محكمة البداية في مركزها إذا
أرادت الاحتجاج بشخصيتها الاعتبارية حيال الغير",3,./crops\page_0014\page_0014_007_text.png
page_0014_008_paragraph_title,page_0014,14,8,paragraph_title,0.7521674633026123,738,1252,887,1294,149,42,False,المادة٣١,0.9011,1,,,0,paddle,0.9011,المادة٣١,1,./crops\page_0014\page_0014_008_paragraph_title.png
page_0014_009_text,page_0014,14,9,text,0.8150429725646973,325,1311,1296,1428,971,117,True,"١إذا توفى تاجر أو انقطع عن تعاطى تجارته أو إذا انحلّت إحدى الشركات وجب
&
شطب التسجيل المختص بهما في سجل التجارة",0.7379,3,"-١‏ إذا توفي تاجر أو انقطع عن تعاطي تجارته أو إذا انحلّت إحدى الشركات وجب
شطب التسجيل المختص بهما فى سجل التجارة .",0.8715,2,tesseract,0.8715,"-١‏ إذا توفي تاجر أو انقطع عن تعاطي تجارته أو إذا انحلّت إحدى الشركات وجب
شطب التسجيل المختص بهما فى سجل التجارة .",2,./crops\page_0014\page_0014_009_text.png
page_0014_010_text,page_0014,14,10,text,0.6487205624580383,439,1437,1298,1492,859,55,False,٢ويجري هذا الشطب مباشرة بمقتضى قرار يصدره أمين سجل التجارة,0.9681,1,,,0,paddle,0.9681,٢ويجري هذا الشطب مباشرة بمقتضى قرار يصدره أمين سجل التجارة,1,./crops\page_0014\page_0014_010_text.png
page_0014_011_paragraph_title,page_0014,14,11,paragraph_title,0.6895809769630432,740,1513,890,1557,150,44,False,المادة ٣٢,0.9193,1,,,0,paddle,0.9193,المادة ٣٢,1,./crops\page_0014\page_0014_011_paragraph_title.png
page_0014_012_text,page_0014,14,12,text,0.8692923188209534,327,1573,1298,1751,971,178,False,"ـكل قيد فى سجل التجارة لم يحدد له ميعاد في المواد السابقة يجب طلب إجرائه
في خلال شهر يبتدى من تاريخ الوثيقة أو العمل الذي يراد قيده
أما الأحكام والقرارات فيبتديئ ميعادها من يوم صدورها",0.96,3,,,0,paddle,0.96,"ـكل قيد فى سجل التجارة لم يحدد له ميعاد في المواد السابقة يجب طلب إجرائه
في خلال شهر يبتدى من تاريخ الوثيقة أو العمل الذي يراد قيده
أما الأحكام والقرارات فيبتديئ ميعادها من يوم صدورها",3,./crops\page_0014\page_0014_012_text.png
page_0014_013_number,page_0014,14,13,number,0.8153689503669739,792,1768,839,1804,47,36,False,3,0.875,1,,,0,paddle,0.875,3,1,./crops\page_0014\page_0014_013_number.png
page_0015_001_header,page_0015,15,1,header,0.2544642984867096,378,27,414,101,36,74,True,,,0,,,0,paddle,,,0,./crops\page_0015\page_0015_001_header.png
page_0015_002_paragraph_title,page_0015,15,2,paragraph_title,0.8035228252410889,766,234,916,279,150,45,False,المادة ٣٣,0.9451,1,,,0,paddle,0.9451,المادة ٣٣,1,./crops\page_0015\page_0015_002_paragraph_title.png
page_0015_003_text,page_0015,15,3,text,0.8616715669631958,352,283,1329,417,977,134,False,"إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً
للصيغ التي نص عليها",0.9591,2,,,0,paddle,0.9591,"إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً
للصيغ التي نص عليها",2,./crops\page_0015\page_0015_003_text.png
page_0015_004_paragraph_title,page_0015,15,4,paragraph_title,0.7917926907539368,761,414,912,457,151,43,False,المادة ٣٤,0.9621,1,,,0,paddle,0.9621,المادة ٣٤,1,./crops\page_0015\page_0015_004_paragraph_title.png
page_0015_005_text,page_0015,15,5,text,0.8788582682609558,346,468,1324,665,978,197,False,"على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن
التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض
مع الوثائق الثبوتية المرفقة بها أو مع أحكام القانون",0.9615,3,,,0,paddle,0.9615,"على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن
التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض
مع الوثائق الثبوتية المرفقة بها أو مع أحكام القانون",3,./crops\page_0015\page_0015_005_text.png
page_0015_006_paragraph_title,page_0015,15,6,paragraph_title,0.7832690477371216,756,675,907,719,151,44,False,المادة ٣٥,0.941,1,,,0,paddle,0.941,المادة ٣٥,1,./crops\page_0015\page_0015_006_paragraph_title.png
page_0015_007_text,page_0015,15,7,text,0.6766971945762634,343,728,1315,963,972,235,False,"١يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل
رسم يحدد من الوزير المختص
ولأمين السجل عند الاقتضاء أن يعطى شهادة بعدم وجود قيوده
٣ويصدّق أمين السجل مطابقة النسخ للأصل",0.942,4,,,0,paddle,0.942,"١يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل
رسم يحدد من الوزير المختص
ولأمين السجل عند الاقتضاء أن يعطى شهادة بعدم وجود قيوده
٣ويصدّق أمين السجل مطابقة النسخ للأصل",4,./crops\page_0015\page_0015_007_text.png
page_0015_008_paragraph_title,page_0015,15,8,paragraph_title,0.7808124423027039,750,978,901,1020,151,42,False,المادة ٣٦,0.8765,1,,,0,paddle,0.8765,المادة ٣٦,1,./crops\page_0015\page_0015_008_paragraph_title.png
page_0015_009_text,page_0015,15,9,text,0.5844007730484009,330,1039,1308,1285,978,246,False,"لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل
الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره
 الأحكام القاضية بالحجر أو تعيين مساعد قضائى إذا كان قد صدر القرار برفع
الحجر أو المساعدة القضائية",0.9502,4,,,0,paddle,0.9502,"لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل
الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره
 الأحكام القاضية بالحجر أو تعيين مساعد قضائى إذا كان قد صدر القرار برفع
الحجر أو المساعدة القضائية",4,./crops\page_0015\page_0015_009_text.png
page_0015_010_paragraph_title,page_0015,15,10,paragraph_title,0.713429868221283,736,1290,894,1336,158,46,False,المادة٣٧,0.9568,1,,,0,paddle,0.9568,المادة٣٧,1,./crops\page_0015\page_0015_010_paragraph_title.png
page_0015_011_text,page_0015,15,11,text,0.8783446550369263,329,1348,1307,1538,978,190,False,"كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي
سجلا فيه ورقم هذا التسجيل فى مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات
والمنشورات وسائر الأوراق الصادرة عنهما",0.9595,3,,,0,paddle,0.9595,"كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي
سجلا فيه ورقم هذا التسجيل فى مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات
والمنشورات وسائر الأوراق الصادرة عنهما",3,./crops\page_0015\page_0015_011_text.png
page_0015_012_paragraph_title,page_0015,15,12,paragraph_title,0.7830072641372681,738,1551,887,1595,149,44,False,المادة٣٨,0.9269,1,,,0,paddle,0.9269,المادة٣٨,1,./crops\page_0015\page_0015_012_paragraph_title.png
page_0015_013_text,page_0015,15,13,text,0.7685456275939941,324,1613,1295,1736,971,123,False,"١ـكل تاجر وكل شخص يكلّف بإدارة شركة لا يطلب فيالمراعيد المنصوص
عليها إجراء القيود الإجبارية أو لا يذكر ما يجب ذكره على المراسلات أو الفواتير",0.935,2,,,0,paddle,0.935,"١ـكل تاجر وكل شخص يكلّف بإدارة شركة لا يطلب فيالمراعيد المنصوص
عليها إجراء القيود الإجبارية أو لا يذكر ما يجب ذكره على المراسلات أو الفواتير",2,./crops\page_0015\page_0015_013_text.png
page_0015_014_number,page_0015,15,14,number,0.7918795347213745,785,1746,833,1780,48,34,True,,,0,را,0.34,1,tesseract,0.34,را,1,./crops\page_0015\page_0015_014_number.png
page_0016_001_text,page_0016,16,1,text,0.4718838930130005,334,219,1311,656,977,437,False,"وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ٠٠٠
عشرة آلاف و٥٠٠ وخمسين ألف ليرة سورية
٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناَ على طلب أمين سجل التجارة أو
النيابة العامة بعد سماع أقوال صاحب الشأن أو دعوته بحسب الأصول
٣ـواذا لم يجر المحكوم عليه أثناء القيد فى أثناء هذا الميعاديحكم بغرامة جديدة
٤ أما أمناء السجل الذين لا يعملون بمقتضى هذه الأحكام فيخضعون للعقوبات
المسلكية المنصوص عليها فى القانون الأساسى للعاملين في الدولة",0.9389,7,,,0,paddle,0.9389,"وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ٠٠٠
عشرة آلاف و٥٠٠ وخمسين ألف ليرة سورية
٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناَ على طلب أمين سجل التجارة أو
النيابة العامة بعد سماع أقوال صاحب الشأن أو دعوته بحسب الأصول
٣ـواذا لم يجر المحكوم عليه أثناء القيد فى أثناء هذا الميعاديحكم بغرامة جديدة
٤ أما أمناء السجل الذين لا يعملون بمقتضى هذه الأحكام فيخضعون للعقوبات
المسلكية المنصوص عليها فى القانون الأساسى للعاملين في الدولة",7,./crops\page_0016\page_0016_001_text.png
page_0016_002_paragraph_title,page_0016,16,2,paragraph_title,0.5910782217979431,754,669,906,714,152,45,False,المادة ٣٩,0.9422,1,,,0,paddle,0.9422,المادة ٣٩,1,./crops\page_0016\page_0016_002_paragraph_title.png
page_0016_003_text,page_0016,16,3,text,0.28596702218055725,347,725,1323,1466,976,741,False,"١ـكل بيان غير صحيح يقدم عن سوء نية للتسجيل أو للقيد فى سجل التجارة
يعاقب مقدمه بغرامة تتراوح بين٠٠ ألف و٥٠٠خمسة آلاف ليرة
سورية وبالحبس من شهر واحد إلى ستة أشهر، أو بإحدى هاتين العقوبتين
ولا يحول ذلك دون العقوبات التى يمكن الحكم بها وفاقاًللقوانين الخاصة ولقانون
العقوبات من أجل الجرائم الناشئة عن البيان غير الصحيح
٣وللمحكمة الجزائية التى تصدر الحكم أن تأمر بتصحيح البيان المشار إليه على
الوجه الذي تعينه
المادة٤
البيانات المسجلة سواء أكانت اختيارية أم إجبارية، تعتبر نافذة في حق الغير
اعتباراً من تاريخ تسجيلها
٢ولا يحول تطبيق العقوبات المقدمة دون نفاذ القاعدة المنصوص عليها بالفقرة
السابقة",0.9459,12,,,0,paddle,0.9459,"١ـكل بيان غير صحيح يقدم عن سوء نية للتسجيل أو للقيد فى سجل التجارة
يعاقب مقدمه بغرامة تتراوح بين٠٠ ألف و٥٠٠خمسة آلاف ليرة
سورية وبالحبس من شهر واحد إلى ستة أشهر، أو بإحدى هاتين العقوبتين
ولا يحول ذلك دون العقوبات التى يمكن الحكم بها وفاقاًللقوانين الخاصة ولقانون
العقوبات من أجل الجرائم الناشئة عن البيان غير الصحيح
٣وللمحكمة الجزائية التى تصدر الحكم أن تأمر بتصحيح البيان المشار إليه على
الوجه الذي تعينه
المادة٤
البيانات المسجلة سواء أكانت اختيارية أم إجبارية، تعتبر نافذة في حق الغير
اعتباراً من تاريخ تسجيلها
٢ولا يحول تطبيق العقوبات المقدمة دون نفاذ القاعدة المنصوص عليها بالفقرة
السابقة",12,./crops\page_0016\page_0016_003_text.png
