crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,n_lines,mean_rec_score,text,crop_path,ocr_ok
page_0014_009_text,page_0014,14,9,text,0.8150429725646973,325,1311,1296,1428,971,117,3,0.7379,"١إذا توفى تاجر أو انقطع عن تعاطى تجارته أو إذا انحلّت إحدى الشركات وجب
&
شطب التسجيل المختص بهما في سجل التجارة",./crops\page_0014\page_0014_009_text.png,True
page_0014_010_text,page_0014,14,10,text,0.6487205624580383,439,1437,1298,1492,859,55,1,0.9681,٢ويجري هذا الشطب مباشرة بمقتضى قرار يصدره أمين سجل التجارة,./crops\page_0014\page_0014_010_text.png,True
page_0014_011_paragraph_title,page_0014,14,11,paragraph_title,0.6895809769630432,740,1513,890,1557,150,44,1,0.9193,المادة ٣٢,./crops\page_0014\page_0014_011_paragraph_title.png,True
page_0014_012_text,page_0014,14,12,text,0.8692923188209534,327,1573,1298,1751,971,178,3,0.96,"ـكل قيد فى سجل التجارة لم يحدد له ميعاد في المواد السابقة يجب طلب إجرائه
في خلال شهر يبتدى من تاريخ الوثيقة أو العمل الذي يراد قيده
أما الأحكام والقرارات فيبتديئ ميعادها من يوم صدورها",./crops\page_0014\page_0014_012_text.png,True
page_0014_013_number,page_0014,14,13,number,0.8153689503669739,792,1768,839,1804,47,36,1,0.875,3,./crops\page_0014\page_0014_013_number.png,True
page_0015_001_header,page_0015,15,1,header,0.2544642984867096,378,27,414,101,36,74,0,,,./crops\page_0015\page_0015_001_header.png,True
page_0015_002_paragraph_title,page_0015,15,2,paragraph_title,0.8035228252410889,766,234,916,279,150,45,1,0.9451,المادة ٣٣,./crops\page_0015\page_0015_002_paragraph_title.png,True
page_0015_003_text,page_0015,15,3,text,0.8616715669631958,352,283,1329,417,977,134,2,0.9591,"إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً
للصيغ التي نص عليها",./crops\page_0015\page_0015_003_text.png,True
page_0015_004_paragraph_title,page_0015,15,4,paragraph_title,0.7917926907539368,761,414,912,457,151,43,1,0.9621,المادة ٣٤,./crops\page_0015\page_0015_004_paragraph_title.png,True
page_0015_005_text,page_0015,15,5,text,0.8788582682609558,346,468,1324,665,978,197,3,0.9615,"على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن
التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض
مع الوثائق الثبوتية المرفقة بها أو مع أحكام القانون",./crops\page_0015\page_0015_005_text.png,True
page_0015_006_paragraph_title,page_0015,15,6,paragraph_title,0.7832690477371216,756,675,907,719,151,44,1,0.941,المادة ٣٥,./crops\page_0015\page_0015_006_paragraph_title.png,True
page_0015_007_text,page_0015,15,7,text,0.6766971945762634,343,728,1315,963,972,235,4,0.942,"١يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل
رسم يحدد من الوزير المختص
ولأمين السجل عند الاقتضاء أن يعطى شهادة بعدم وجود قيوده
٣ويصدّق أمين السجل مطابقة النسخ للأصل",./crops\page_0015\page_0015_007_text.png,True
page_0015_008_paragraph_title,page_0015,15,8,paragraph_title,0.7808124423027039,750,978,901,1020,151,42,1,0.8765,المادة ٣٦,./crops\page_0015\page_0015_008_paragraph_title.png,True
page_0015_009_text,page_0015,15,9,text,0.5844007730484009,330,1039,1308,1285,978,246,4,0.9502,"لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل
الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره
 الأحكام القاضية بالحجر أو تعيين مساعد قضائى إذا كان قد صدر القرار برفع
الحجر أو المساعدة القضائية",./crops\page_0015\page_0015_009_text.png,True
page_0015_010_paragraph_title,page_0015,15,10,paragraph_title,0.713429868221283,736,1290,894,1336,158,46,1,0.9568,المادة٣٧,./crops\page_0015\page_0015_010_paragraph_title.png,True
page_0015_011_text,page_0015,15,11,text,0.8783446550369263,329,1348,1307,1538,978,190,3,0.9595,"كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي
سجلا فيه ورقم هذا التسجيل فى مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات
والمنشورات وسائر الأوراق الصادرة عنهما",./crops\page_0015\page_0015_011_text.png,True
page_0015_012_paragraph_title,page_0015,15,12,paragraph_title,0.7830072641372681,738,1551,887,1595,149,44,1,0.9269,المادة٣٨,./crops\page_0015\page_0015_012_paragraph_title.png,True
page_0015_013_text,page_0015,15,13,text,0.7685456275939941,324,1613,1295,1736,971,123,2,0.935,"١ـكل تاجر وكل شخص يكلّف بإدارة شركة لا يطلب فيالمراعيد المنصوص
عليها إجراء القيود الإجبارية أو لا يذكر ما يجب ذكره على المراسلات أو الفواتير",./crops\page_0015\page_0015_013_text.png,True
page_0015_014_number,page_0015,15,14,number,0.7918795347213745,785,1746,833,1780,48,34,0,,,./crops\page_0015\page_0015_014_number.png,True
page_0016_001_text,page_0016,16,1,text,0.4718838930130005,334,219,1311,656,977,437,7,0.9389,"وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ٠٠٠
عشرة آلاف و٥٠٠ وخمسين ألف ليرة سورية
٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناَ على طلب أمين سجل التجارة أو
النيابة العامة بعد سماع أقوال صاحب الشأن أو دعوته بحسب الأصول
٣ـواذا لم يجر المحكوم عليه أثناء القيد فى أثناء هذا الميعاديحكم بغرامة جديدة
٤ أما أمناء السجل الذين لا يعملون بمقتضى هذه الأحكام فيخضعون للعقوبات
المسلكية المنصوص عليها فى القانون الأساسى للعاملين في الدولة",./crops\page_0016\page_0016_001_text.png,True
page_0016_002_paragraph_title,page_0016,16,2,paragraph_title,0.5910782217979431,754,669,906,714,152,45,1,0.9422,المادة ٣٩,./crops\page_0016\page_0016_002_paragraph_title.png,True
page_0016_003_text,page_0016,16,3,text,0.28596702218055725,347,725,1323,1466,976,741,12,0.9459,"١ـكل بيان غير صحيح يقدم عن سوء نية للتسجيل أو للقيد فى سجل التجارة
يعاقب مقدمه بغرامة تتراوح بين٠٠ ألف و٥٠٠خمسة آلاف ليرة
سورية وبالحبس من شهر واحد إلى ستة أشهر، أو بإحدى هاتين العقوبتين
ولا يحول ذلك دون العقوبات التى يمكن الحكم بها وفاقاًللقوانين الخاصة ولقانون
العقوبات من أجل الجرائم الناشئة عن البيان غير الصحيح
٣وللمحكمة الجزائية التى تصدر الحكم أن تأمر بتصحيح البيان المشار إليه على
الوجه الذي تعينه
المادة٤
البيانات المسجلة سواء أكانت اختيارية أم إجبارية، تعتبر نافذة في حق الغير
اعتباراً من تاريخ تسجيلها
٢ولا يحول تطبيق العقوبات المقدمة دون نفاذ القاعدة المنصوص عليها بالفقرة
السابقة",./crops\page_0016\page_0016_003_text.png,True
page_0016_004_paragraph_title,page_0016,16,4,paragraph_title,0.689178466796875,774,1478,922,1522,148,44,1,0.8851,المادة ٤١,./crops\page_0016\page_0016_004_paragraph_title.png,True
page_0016_005_text,page_0016,16,5,text,0.8223238587379456,359,1535,1341,1721,982,186,3,0.9508,"كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع
لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا
تقبل مراجعته ما لم يكن مسجلاً فى سجل التجارة",./crops\page_0016\page_0016_005_text.png,True
page_0016_006_number,page_0016,16,6,number,0.7888772487640381,827,1740,874,1775,47,35,1,0.603,١٧,./crops\page_0016\page_0016_006_number.png,True
page_0017_001_paragraph_title,page_0017,17,1,paragraph_title,0.7034907341003418,788,246,935,289,147,43,1,0.8539,المادة ٤٢,./crops\page_0017\page_0017_001_paragraph_title.png,True
page_0017_002_text,page_0017,17,2,text,0.8998294472694397,370,318,1343,495,973,177,3,0.9599,"تفصل محكمة البداية المدنية في المحافظة التي يوجد فيها سجل التجارة، في
كل خلاف يقع بين أمين سجل التجارة وأصحاب العلاقة، بقرار يتخذ في غرفة
المذاكرة، وعليها إصدار قرارها خلال شهر من تاريخ الادعاء",./crops\page_0017\page_0017_002_text.png,True
page_0017_003_text,page_0017,17,3,text,0.8910887837409973,370,500,1344,664,974,164,3,0.9692,"يخضع قرار محكمة البداية المدنية للطعن بطريق الاستئناف وعلى محكمة
الاستئناف أن تفصل فيه بصورة نهائية وبقرار غير قابل للطعن يصدر خلال
ثلاثة أشهر من تاريخ تقديم الطعن",./crops\page_0017\page_0017_003_text.png,True
page_0017_004_text,page_0017,17,4,text,0.2562367618083954,795,836,922,899,127,63,1,0.9988,المتجر,./crops\page_0017\page_0017_004_text.png,True
page_0017_005_figure_title,page_0017,17,5,figure_title,0.3081570565700531,790,1064,927,1106,137,42,1,0.551,ا ة,./crops\page_0017\page_0017_005_figure_title.png,True
page_0017_006_text,page_0017,17,6,text,0.8025380969047546,368,1131,1342,1495,974,364,6,0.9473," المتجر مجموعة عناصر مادية وغير مادية تهدف إلى ممارسة مهنة تجارية
يشتمل المتجر مبدئياً على الاسم التجاري والعنوان التجاري والشعار وحق
الاتصال بالزبائن وحق الاستئجار المنصوص عليه في قوانين الإيجار الخاصة
وتعديلاتها، والتجهيزات والعدّد الصناعية والأثاث والبراءات والإجازات والرسوم
والنماذج، ما لم يستثن بعض هذه العناصر من محتويات المتجر بالنص على
ذلك فى سجل المتجر أو فى العقود الواردة عليه",./crops\page_0017\page_0017_006_text.png,True
page_0017_007_figure_title,page_0017,17,7,figure_title,0.5693135261535645,783,1506,932,1549,149,43,1,0.4732,اا ةة,./crops\page_0017\page_0017_007_figure_title.png,True
page_0017_008_text,page_0017,17,8,text,0.779769778251648,369,1567,1341,1729,972,162,3,0.9387,"إن حقوق صاحب المتجر على مختلف عناصره تنظمها القوانين الخاصة بهذه
العناصر والمبادي الحقوقية العامة
 أما المتجر كمجموعة فيخضع لأحكام هذا القانون",./crops\page_0017\page_0017_008_text.png,True
page_0017_009_number,page_0017,17,9,number,0.8278786540031433,830,1755,881,1791,51,36,1,0.4918,١٧,./crops\page_0017\page_0017_009_number.png,True
